title,category,description,price,link
2 Doors and Open Shelf TV Stand Rustic Oak and Black,entertainment-centers-and-tv-stand,This rectangular TV stand has two doors and four shelves so you can have enough storage space. The unique wood texture is matched with the metal frame which is full of rustic style. If you happen to need a rusticstyle TV stand it will be a good choice for you.,934,https://www.houzz.com/products/2-doors-and-open-shelf-tv-stand-rustic-oak-and-black-prvw-vr~185017113
2Drawer Console Table Mystique Gray and Aged Copper,console-tables,"Against a long wall in your foyer or under a pair of framed prints in your den a Console Table is the perfect choice for displaying your family photos and artwork. Finished is a captivating Mystique Gray with Aged Copper accents we think you will agree that our Four Drawer Console Table is the ideal choice for you. Six slender turned legs taper down to a full shelf below and with the top featuring a scalloped skirt that continues across all the drawers plus decorative antiqued brass hardware an excellent choice it isPainted FinishTurned LegsOpen Lower ShelfDecorative Antique Brass HardwareAdjustable LevelersColor GrayDesign Console TableMaterial MDF 92 Eucalyptus wood 8Number of Drawers 4Power NoShape RectangleSize LargeProduct Weight (lbs.) 79.42Assembly Instructions Included YesFinish Name Mystique Gray  Aged CopperWater Resistant NoInterior shelves NoShelf Weight 80 LBSTotal Weight Capacity 290 LBSAdjustable Levelers YesCord Mgmt / Drilled for Media NoNumber of Exterior Shelves 1Bar/Wine Server NoCarb Ii Compliant YesDimensions Of Shelves (in.) 70.99W x 10.24D x 22.05HDoors Included NoDrawer Glide Material MetalDrawer Hardware Antique Brass Decorative DropDrawers Included YesExtended Drawer Glides NoExterior Shelves Included YesFixed Or Adjustable FixedFood Or Edible NoHardware Pack Included YesInterior Drawer Dimensions 13.39""W x 11.34""D x 3.67""HLive Plant Or Animal NoMax Depth (in.) 16Max Height (in.) 35.5Max Width (in.) 72Media Capability NoPerishable NoProduct Care Wipe clean with a dry/damp soft cloth. Do Not use strong liquid cleanersStain Resistant NoUsb Capability No",704,https://www.houzz.com/products/2-drawer-console-table-mystique-gray-and-aged-copper-prvw-vr~136978226
2Drawer Console Table,console-tables,In your kitchen to hold baskets of fruit and your colorful mixing bowls or in the entry to display your beachy photos our two drawer console table will do the job.  Finished in weathered Islander Multicolor with plank detailing and waves of style a must have with tons of seaworthy appeal.,287,https://www.houzz.com/products/2-drawer-console-table-prvw-vr~97191844
2 Open Shelves Sofa Table Rustic Oak and Black,console-tables,The sofa table has two raised open shelves that give it a design feel look. The unique wood texture is matched with the metal frame which is full of industrial style. If you happen to need an industrialstyle sofa table it will be a good choice for you.,649,https://www.houzz.com/products/2-open-shelves-sofa-table-rustic-oak-and-black-prvw-vr~185016922
2 Pack Accent Chair Wood Frame and Diamond Button Tufted Back Delta Brown,armchairs-and-accent-chairs,This accent chair will add a fresh look to any roomThis accent chair features a dark brown upholstery and a rustic oak FinishCrafted of wood and iron and upholstered in a linen fabricPerfect for a living room Bedroom family room den library or study,719,https://www.houzz.com/products/2-pack-accent-chair-wood-frame-and-diamond-button-tufted-back-delta-brown-prvw-vr~185282270
2 Pack Indoor/Outdoor Counter Stool Ergonomic Design With Slatted Back Yellow,armchairs-and-accent-chairs,"Pack of 2 Entertain guests inside or take the party outdoors to sit at your bar. This 24 inch metal counter stool can keep up in any commercial or residential setting. Enjoy your chair longer by protecting the frame from long periods of wet weatherHeavyduty weather resistant galvanized steel frame holds 500 lb. static loadErgonomic seat structure curved vertical slat design screw leveling floor glidesIndustrial style metal counter stool  ideal in modern industrial and coastal settingsPRODUCT MEASUREMENTS  Overall Size 15.75""W x 19""D x 36.25""H  Seat Size 15.5""W x 14""D x 24.5""H  Back Size 15.75""W x 13.25""H",469,https://www.houzz.com/products/2-pack-indoor-outdoor-counter-stool-ergonomic-design-with-slatted-back-yellow-prvw-vr~149396406
2 Piece Farmhouse Barn Door TV Stand and Buffet Table Set in White,entertainment-centers-and-tv-stand,"Included ItemsEngineered Wood Sliding Barn Door Highboy Console in Solid White x 132"" Rustic Farmhouse Buffet  Solid White/Reclaimed Barnwood x 1Engineered Wood Sliding Barn Door Highboy Console in Solid WhiteDesign your home with the storage space you need by incorporating this 52inch TV stand into just about any room. With a versatile design this TV stand can be utilized not only as an entertainment center in your living room but as either a buffet in your kitchen or a storage cabinet in your bedroom. With plenty of storage space provided from the open shelving and closed shelving with sliding barn cabinet doors. Position the sliding doors in the center or sides with your media electronics accessories glassware or dcor on the shelves. Including adjustable shelves and cord management to keep your room essentials organized and in one spot. Crafted of highgrade MDF durable laminate and metal for a modern farmhouse and traditional style. Can fit up to a 56inch TV.Features Made of highgrade MDF durable laminate and black painted metalSliding barn doors with exposed metal hardwareCan fit up to a 56inch TVCord managementOpen and closed storageAdjustable shelves32"" Rustic Farmhouse Buffet  Solid White/Reclaimed BarnwoodWith a barn inspired cabinet door front this 32inch buffet exudes a charming country appearance for your home. Combining a rustic modern farmhouse and traditional appeal for an overall stylish addition to your space. The sliding door closes off either side of the storage cabinet to incorporate both open and closed storage space. Position in your entryway as an entryway table bedroom as a storage cabinet living room as a TV stand or kitchen as a buffet for anything from media to dcor. Made with a wood grain aesthetic of highgrade MDF and durable laminate with metal accents. Can support up to a 34inch TV.Features Featuring a rustic modern and traditional farmhouse design style for a charming addition to your homeWith a highgrade MDF durable laminate and metal constructionIncluding adjustable shelving open and closed storage and exposed hardwareWith a sliding door featuring an inspired barn door frontAs accent storage to your entryway buffet in your kitchen bar storage in your dining or a TV stand in your living roomShips readytoassemble with stepbystep instructions",622,https://www.houzz.com/products/2-piece-farmhouse-barn-door-tv-stand-and-buffet-table-set-in-white-prvw-vr~168270874
2Piece Inspired Home Araya End Table Round Marble/Stackable Gold,coffee-and-accent-tables,"Bring contemporary modern style into your home. This metal accent table is a perfect complement to a variety of interior decor. Use it as an end table in the living room as a sleek side table in the bedroom or as a display table in the entryway or home office. Show off favorite decorative items let it hold a warm cup of coffee while reading or let it anchor a bold lamp and magazines next to a favorite chair. With a marble top and metal base finished in classic matte gold or silver this modern side table will be a favorite piece for years to come.FEATURESGENUINE MARBLE STUNNING APPEARANCE  This unique luxe side table infuses an exquisite accent to your main furniture to create that modern cozy atmosphere in your home and enhances the surrounding decor. Top is made of genuine marble which has been a symbol of luxury for centuries. This stone has been a favorite of kings and queens throughout the historyPRACTICAL  Nesting end tables are the perfect addition to any room of your house as they can offer you plenty of storage or display space when both in use or a less space taking solution when the small one is stored under the large. When buying this set of 2 tables you receive a nice room decoration and a comfortable organizer all in one for your homeVERSATILE USE  End table will add a designer touch to any space can be used in multiple room settings sofa table foyer table nightstand in a bedroom end or side table in a living room accent table in office dining room or bathroomSPACE SAVER  Our brand new stackable nesting end tables in a set of 2 is a compact and functional item. Its stacking design maximizes space and serves a variety of functions. The round top surface is perfect to display a lovely floral arrangement lamp or family photosPRODUCT DIMENSIONS Large Table 17.5DIA x 22H Small Table 12.6DIA x 19.8HSTURDY CONSTRUCTION  This stylish set of 2 end tables is made of iron with sturdy construction that guarantees years of enjoyment of this beautiful room decor. With a whimsical silhouette it speaks to an effortless design concept. Perfect for a contemporary space these tables deliver personality and sophisticationGOLD FINISH  The gold finish of the end table brings a relaxed interior look that works for variety of styles. The timeless design of this home decor brings a nice accent and a gentle touch to your home ambiance in combination with almost any type of furnitureEASY ASSEMBLY INSTRUCTIONS  Stress free assembly and easytofollow directions. Just put the marble top on the top of metal base through the flutesSPECIFICATIONSDIMENSIONS Large 17.5""DIA x 22""H Small 12.6""DIA x 19.8""HFABRIC  MATERIALS Iron Genuine MarbleATTRIBUTES Metal Frame Natural Marble TopINTENDED ROOMS Living Room Bedroom Office EntrywaySTYLE Contemporary Modern Functional TransitionalWEIGHT CAPACITY 35ASSEMBLY REQUIRED YesAbout the company Inspired Home Co. provides modern casual ontrend occasional furniture ottomans benches fabric headboards and beds side tables dining chairs barstools accent chairs accent tables and sofas. Inspired Home is known for providing fashion forward designs quality home furnishings at affordable prices. Disclaimer The digital images we display have the most accurate color possible. However due to differences in computer monitors we cannot be responsible for variations in color between the actual product and your screen.",484,https://www.houzz.com/products/2-piece-inspired-home-araya-end-table-round-marble-stackable-gold-prvw-vr~141272305
2Piece Rustic Coffee Table Set  Barnwood,coffee-and-accent-tables,"Invite a rustic industrial style into your home with this matching 2piece rustic coffee table set. Including a side table and coffee table with a table top and lower shelf made in a wood grain finish of highgrade MDF and laminate with metal legs and metal corner accents. Coordinate together in front of your living room couch or apart with the side table used as a nightstand in your bedroom. These tables will give you storage space for your TV remotes books magazines dcor and more. This set includes a coffee table and side table.Features With durable laminate and metal designCoordinate together in your living room or apart throughout your homeUse side table in living room or in bedroom as a nightstandWith a rustic design style for a charming country addition to your homeSet includes coffee table and side tableShips readytoassemble with stepbystep instructionsSpecifications Product Dimensions  18"" H x 48 W x 24 DProduct Weight  55 lbsProduct Dimensions  20"" H x 20 W x 20 DProduct Weight  62 lbs",360,https://www.houzz.com/products/2-piece-rustic-coffee-table-set-barnwood-prvw-vr~165899827
2Piece Rustic Coffee Table Set  Driftwood,coffee-and-accent-tables,"Invite a rustic industrial style into your home with this matching 2piece rustic coffee table set. Including a side table and coffee table with a table top and lower shelf made in a wood grain finish of highgrade MDF and laminate with metal legs and metal corner accents. Coordinate together in front of your living room couch or apart with the side table used as a nightstand in your bedroom. These tables will give you storage space for your TV remotes books magazines dcor and more. This set includes a coffee table and side table.Features With durable laminate and metal designCoordinate together in your living room or apart throughout your homeUse side table in living room or in bedroom as a nightstandWith a rustic design style for a charming country addition to your homeSet includes coffee table and side tableShips readytoassemble with stepbystep instructionsSpecifications Product Dimensions  18"" H x 48 L x 24 WProduct Weight  55 lbsProduct Dimensions  20"" H x 20 L x 20 WProduct Weight  24.5 lbs",343,https://www.houzz.com/products/2-piece-rustic-coffee-table-set-driftwood-prvw-vr~165899889
20 Inch Accent Table   20 Inch Accent Table  Furniture  Table,side-tables-and-accent-tables,20 Inch Accent Table   20 Inch Accent Table .  Accent Table. Features Product Type Furniture Accent TableColor GrayStyle TransitionalStyle Luxe Additional Details Customdesigned metalwork.Additional Details Handapplied finish.Additional Details Clean with a soft dry cloth.,329,https://www.houzz.com/products/20-inch-accent-table-20-inch-accent-table-furniture-table-prvw-vr~165125750
"20"" Metal and Wood Side Table with Open Shelf  Dark Walnut",coffee-and-accent-tables,Delicately crafted of mixed materials for a unique look the 20 openshelf side table is an excellent addition to your home. With a truly versatile design this table can be styled as a nightstand in a bedroom or as a side table to accent your living space. Intentionally constructed to allow for accessible storage with an openshelf concept this piece can stand on its own or be combined with pieces from the matching collection. Choose from a beautiful dark walnut or grey wash paired with black metal.Features Made of highgrade MDF and powdercoated metal16mm black sanded square metal tubingPainted MetalWood LaminateShips readytoassemble with step by step instructionsSpecifications Assembly Required  YesWarranty  30 day limited manufacturer,74,https://www.houzz.com/products/20-metal-and-wood-side-table-with-open-shelf-dark-walnut-prvw-vr~166888519
202409 Soft Touch Ottoman Onyx,ottomans-and-cubes,"100 Top grain leather touch ottoman that is a perfect compliment to the living room collection.Proudly Made in America with domestic and imported materialsOccasionally wipe leather with a soft dry cloth. Dab wet or greasy spills with a soft dry cloth. Clean and condition the leather 4 times a year.  Professional cleaning recommended.Covered in a great Leather Touch with 100 Top Grain Leather on the top of the ottoman.Will fit through any standard 32"" doorway.Ships with legs off to prevent damage. Just easily attach the legs",316,https://www.houzz.com/products/2024-09-soft-touch-ottoman-onyx-prvw-vr~143224391
"24"" Accent Table Arc Style Gray Cement Chrome Metal",coffee-and-accent-tables,If you are looking to add a simple contemporary touch to your space start with this accessible multifunctional accent side table. The spacious rectangular table top is constructed from solid MDF material and finished in a chic laminated grey cementlook for a modern look. The large storage drawer on metal glides is accented with a simple silver metal handle on top. A minimalist style chrome metal base with an X design frames the table keeping things light and airy. Whether you use this fashionable table as a nightstand in a modern bedroom space or as an end table it adds instant style to any room,102,https://www.houzz.com/products/24-accent-table-arc-style-gray-cement-chrome-metal-prvw-vr~171426424
"29"" Electric Fireplace TV Stand Black",entertainment-centers-and-tv-stand,Add a spark of style and function in your living space with the ventless Electric Fireplace TV Stand by Hastings Home.  This 29inch tall entertainment console features a mantel that fits flat screen televisions up to 32 inches an open media shelf for cable boxes DVD and Bluray players and an electric fireplace insert that can heat up to 400 square feet. Its slim profile is ideal for tight spaces small rooms apartments or an office. With a push of a button you can turn the heat function on or off and enjoy the warm glow of the LED flame over the decorative logs providing you the right mix of comfort and style yearround in any room any season,288,https://www.houzz.com/products/29-electric-fireplace-tv-stand-black-prvw-vr~154745918
"29"" Electric Fireplace TV Stand White",entertainment-centers-and-tv-stand,Add a spark of style and function in your living space with the ventless Electric Fireplace TV Stand by Hastings Home.  This 29inch tall entertainment console features a mantel that fits flat screen televisions up to 32 inches an open media shelf for cable boxes DVD and Bluray players and an electric fireplace insert that can heat up to 400 square feet. Its slim profile is ideal for tight spaces small rooms apartments or an office. With a push of a button you can turn the heat function on or off and enjoy the warm glow of the LED flame over the decorative logs providing you the right mix of comfort and style yearround in any room any season,260,https://www.houzz.com/products/29-electric-fireplace-tv-stand-white-prvw-vr~154745904
"29.25""H PU Leather Tufted Accent Chair Black",armchairs-and-accent-chairs,"Accent chair is a great option for rounding out your seating arrangement with an extra seat that helps complement your spaces style also a versatile piece that helps put the finishing on your home. This chair is built on a powdercoated metal base in a black finish upholstered in faux leather with slight distressing to give it a wellworn look padded seat and back with highdensity and elasticity foam and accented with buttontufted decor that can easily blends into todays modern homes.Weight capacity 300 lbMidcentury modern and industrial styleSturdy metal frame for longlasting durabilitySpacious upholstered cushion seat and back for comfortable sittingButtontufted design for a stylish and classic appearance4.75"""" padded seat and back with CAL 117 fire retardant foam fillingPlywood subcore with EPA TSCA CertificatedWith clear instruction easy to assemble",301,https://www.houzz.com/products/2925h-pu-leather-tufted-accent-chair-black-prvw-vr~172821400
3Door Media Console Oxford Distressed Brown,entertainment-centers-and-tv-stand,"With the look of a vintage card catalog our Three Door Media Console finished in rich Oxford Distressed Brown will make an outstanding focal point for your den family room or entry.  The spacious interior features two adjustable shelves and a cord management system to keep all your wires and components neatly tucked away making entertainment a breezeFeaturesFir Wood  Birch VeneersVintage Card Catalog DesignTwo Adjustable ShelvesLeft shelf measures 20.4"" wide x 13.6"" deep x 8.5"" highRight shelf measures 40.9"" wide x 13.6"" deep x 8.5"" highCord ManagementAdjustable LevelersMax TV size 66 inchesTotal weight capacity 230 poundsSome assembly required",1196,https://www.houzz.com/products/3-door-media-console-oxford-distressed-brown-prvw-vr~136978271
3Door Media Credenza Blue,entertainment-centers-and-tv-stand,Make a statement with this vibrant Bayberry Blue textured three door credenza. The Chinese Chippendale fretwork overlayed on clear glass allows a peek into the inside. Crown molding accentuates the top and base while decorative back plate and key hardware adorn each door. Inside you will find two shelves and access for cords and media cables. Use as a sideboard library case or a media center.Hand Painted Textured Finish3 Glass Paneled DoorsChinese Chippendale Fretwork2 Interior Fixed ShelvesCord ManagementAdjustable LevelersDesign CredenzaFinish Bayberry Blue RubthroughFrame Color BlueMaterial MDF 90 Poplar 5 Glass 5Number of Doors 3Power NoShape RectangleSize MediumProduct Weight 109Assembly Instructions Included YesMax TV Size (in.) 57Water Resistant NoInterior shelves YesAdjustable Levelers YesCord Mgmt/Drilled for Media YesNumber of Interior Shelves 2Bar/wine server NoCarb ii compliant YesDoor hardware Antique Brass Scroll  KeyDoors included YesDrawers included NoExterior shelves included NoFixed adjustable removeable FixedFood or edible NoHardware pack included NoInterior shelf dimensions 17.17W x 12.8D x 14.37H (left)32.68W x 12.8D x 14.37HLive plant or animal NoMax depth (in.) 16Max height (in.) 38.5Max width (in.) 54Media capability YesPerishable NoProduct care Wipe clean with a dry/damp soft cloth. Do not use strong liquid cleanersShelf Weight Capacity(per shelf) 20 Lbs. EachStain resistant NoType of door closures MagneticUsb capability No,1032,https://www.houzz.com/products/3-door-media-credenza-blue-prvw-vr~97186054
3 Piece Cabin Style Coffee and End Table Set in Rustic Pine,coffee-and-accent-tables,"Included ItemsRound Coffee Table with Casters in Rustic Pine x 1Round End Table in Rustic Pine x 2Round Coffee Table with Casters in Rustic PineCrafted of handsome reclaimed wood Dakota features unique rounded shapes that resemble cross sectioned tree trunks. Rustic and chunky the round end table and round cocktail are the perfect accompaniment to western urban and rustic settings while the demilune sofa table is a standout that would be as at home in a foyer or dining room as behind a sofa. Embrace Dakota and feel the warmth of wood.Features Finish Rustic PineMaterial Reclaimed WoodConstructed using solid wood and select hardwood veneers increases strength and durability while ensuring longevity.Multistep finishing process achieves a durable high quality finish that enhances the natural beauty of the woodUnique rounded shapes resembling cross sectioned tree trunksCasters for easy mobilityPlanked reclaimed wood topThe use of reclaimed wood gives each piece unique characteristicsSpecifications Product Dimensions  16.5"" H x 34"" W x 34"" DProduct Weight  80 lbsRound End Table in Rustic PineCrafted of handsome reclaimed wood Dakota features unique rounded shapes that resemble cross sectioned tree trunks. Rustic and chunky the round end table and round cocktail are the perfect accompaniment to western urban and rustic settings while the demilune sofa table is a standout that would be as at home in a foyer or dining room as behind a sofa. Embrace Dakota and feel the warmth of wood.Features Finish Rustic PineMaterial Reclaimed WoodConstructed using solid wood and select hardwood veneers increases strength and durability while ensuring longevity.Multistep finishing process achieves a durable high quality finish that enhances the natural beauty of the woodUnique rounded shapes resembling cross sectioned tree trunksPlanked reclaimed wood topThe use of reclaimed wood gives each piece unique characteristicsSpecifications Product Dimensions  24"" H x 20"" W x 20"" DProduct Weight  37 lbs",1286,https://www.houzz.com/products/3-piece-cabin-style-coffee-and-end-table-set-in-rustic-pine-prvw-vr~141699707
3 Piece Coffee Table and Set of 2 End Table in Oak,coffee-and-accent-tables,Included ItemsCocktail Table x 1End Table x 2Cocktail TableLake House Occasional made of Select hardwoods  Oak Veneers with MultiStep Hand Applied Oak Finish. Appealing Planked Tops  Tapered Legs with Veneered Shelves. The Drawers feature WoodonWood Drawer Glides with WoodonWood Drawer GlidesFeatures Cathedral VeneersAppealing Planked Tops  Tapered LegsVeneered ShelvesRectangular 48 Inch Cocktail TablePush Through Drawers on Cocktail TableMultiStep Hand Applied FinishWoodonWood Drawer GlidesBoxed Drawer ConstructionEnd TableLake House Occasional made of Select hardwoods  Oak Veneers with MultiStep Hand Applied Oak Finish. Appealing Planked Tops  Tapered Legs with Veneered Shelves. The Drawers feature WoodonWood Drawer Glides with WoodonWood Drawer GlidesFeatures Cathedral VeneersAppealing Planked Tops  Tapered LegsVeneered ShelvesMultiStep Hand Applied FinishAntique Brass HardwareSeveral Style OptionsWoodonWood Drawer GlidesBoxed Drawer Construction,886,https://www.houzz.com/products/3-piece-coffee-table-and-set-of-2-end-table-in-oak-prvw-vr~141830469
3Piece Coffee Table Set with Coffee Table and 2End Tables in Lintel Oak,coffee-and-accent-tables,"Included ItemsEngineered Wood Lift Top Coffee Table in Lintel Oak x 1Engineered Wood 1Drawer End Table in Lintel Oak x 2Engineered Wood Lift Top Coffee Table in Lintel OakNever leave your couch again. Give your home a classic new look with this vintage looking lift top coffee table from the Cannery Bridge collection. This oneofakind living room coffee table offers a spacious top surface that lifts up and forward to create a multipurpose workspace for you to work from home surf the web on your laptop or eat a yummy dinner all while relaxing from the comfort of your couch or loveseat. Beneath its handy lifttop surface is hidden storage for you to stow away any aroundhome essentials  spare blankets board games your collection of books and any other items you typically wouldnt want your guests to see. This coffee table with storage also features open shelving for additional storage or to display home dcor items like picture frames and knickknacks. This beautiful coffee table with lift top is finished on all sides in Lintel Oak making it the perfect versatile addition to any room in your home.Features Finish Lintel OakMaterial Engineered WoodTop lifts up and forward to create versatile work surface  browse online or eat dinner while relaxing on your couchHidden storage beneath top helps to hide clutter and chaosOpen shelves for additional storage and display of your favorite home dcorFinished on all sides for versatile placement anywhere in your homeSpecifications Product Dimensions  19.016"" H x 43.15"" W x 19.449"" DProduct Weight  70 lbsWeight Capacity  40 lbsEngineered Wood 1Drawer End Table in Lintel OakThe perfect couchside companion  the side table. Create a spot for your icecold beverage while adding a touch of beautiful style to your living room with this side table from the Cannery Bridge collection. This end table offers a top surface with the ideal amount of space to meet the needs of items like an accent lamp the TV remote your smartphone and a yummy bowl of popcorn. Need more space This wood side table also features a pullout shelf with smooth metal runners to give you the additional surface space you need. This side table includes an open shelf for easy access storage of items like books and your reading glasses. The lower drawer opens and closes on smooth metal runners for convenient hidden storage options. This accent table is finished on all sides for versatile placement throughout any room in your home. Finished in Lintel Oak and detailed with attractive hardware this goodlooking side table is just what your home is missing.Features Finish Lintel OakPullout shelf with metal runners and safety stopsOpen shelf provides additional storageDrawer with metal runners and safety stops features patented Tlock assembly systemFinished on all sides for versatile placementSpecifications Product Dimensions  25.75"" H x 14.38"" W x 22.5"" DProduct Weight  52 lbsWeight Capacity  40 lbs",520,https://www.houzz.com/products/3-piece-coffee-table-set-with-coffee-table-and-2-end-tables-in-lintel-oak-prvw-vr~141013428
